city,province_name
Toronto,Ontario
Montreal,Quebec
Vancouver,British Columbia
Calgary,Alberta
Edmonton,Alberta
Ottawa,Ontario
Mississauga,Ontario
Winnipeg,Manitoba
Quebec City,Quebec
Hamilton,Ontario
Brampton,Ontario
Surrey,British Columbia
Kitchener,Ontario
Laval,Quebec
Halifax,Nova Scotia
London,Ontario
Victoria,British Columbia
Markham,Ontario
St. Catharines,Ontario
Niagara Falls,Ontario
Vaughan,Ontario
Gatineau,Quebec
Windsor,Ontario
Saskatoon,Saskatchewan
Longueuil,Quebec
Burnaby,British Columbia
Regina,Saskatchewan
Richmond,British Columbia
Richmond Hill,Ontario
Oakville,Ontario
Burlington,Ontario
Barrie,Ontario
Oshawa,Ontario
Sherbrooke,Quebec
Saguenay,Quebec
Lévis,Quebec
Kelowna,British Columbia
Abbotsford,British Columbia
Coquitlam,British Columbia
Trois-Rivières,Quebec
Guelph,Ontario
Cambridge,Ontario
Whitby,Ontario
Ajax,Ontario
Langley,British Columbia
Saanich,British Columbia
Terrebonne,Quebec
Milton,Ontario
St. John's,Newfoundland and Labrador
Moncton,New Brunswick
Thunder Bay,Ontario
Dieppe,New Brunswick
Waterloo,Ontario
Delta,British Columbia
Chatham,Ontario
Red Deer,Alberta
Kamloops,British Columbia
Brantford,Ontario
Cape Breton,Nova Scotia
Lethbridge,Alberta
Saint-Jean-sur-Richelieu,Quebec
Clarington,Ontario
Pickering,Ontario
Nanaimo,British Columbia
Sudbury,Ontario
North Vancouver,British Columbia
Brossard,Quebec
Repentigny,Quebec
Newmarket,Ontario
Chilliwack,British Columbia
White Rock,British Columbia
Maple Ridge,British Columbia
Peterborough,Ontario
Kawartha Lakes,Ontario
Prince George,British Columbia
Sault Ste. Marie,Ontario
Sarnia,Ontario
Wood Buffalo,Alberta
New Westminster,British Columbia
Châteauguay,Quebec
Saint-Jérôme,Quebec
Drummondville,Quebec
Saint John,New Brunswick
Caledon,Ontario
St. Albert,Alberta
Granby,Quebec
Medicine Hat,Alberta
Grande Prairie,Alberta
St. Thomas,Ontario
Airdrie,Alberta
Halton Hills,Ontario
Saint-Hyacinthe,Quebec
Lac-Brome,Quebec
Port Coquitlam,British Columbia
Fredericton,New Brunswick
Blainville,Quebec
Aurora,Ontario
Welland,Ontario
North Bay,Ontario
Beloeil,Quebec
Belleville,Ontario
Mirabel,Quebec
Shawinigan,Quebec
Dollard-des-Ormeaux,Quebec
Brandon,Manitoba
Rimouski,Quebec
Cornwall,Ontario
Stouffville,Ontario
Georgina,Ontario
Victoriaville,Quebec
Vernon,British Columbia
Duncan,British Columbia
Saint-Eustache,Quebec
Quinte West,Ontario
Charlottetown,Prince Edward Island
Mascouche,Quebec
West Vancouver,British Columbia
Salaberry-de-Valleyfield,Quebec
Rouyn-Noranda,Quebec
Timmins,Ontario
Sorel-Tracy,Quebec
New Tecumseth,Ontario
Woodstock,Ontario
Boucherville,Quebec
Mission,British Columbia
Vaudreuil-Dorion,Quebec
Brant,Ontario
Lakeshore,Ontario
Innisfil,Ontario
Prince Albert,Saskatchewan
Langford Station,British Columbia
Bradford West Gwillimbury,Ontario
Campbell River,British Columbia
Spruce Grove,Alberta
Moose Jaw,Saskatchewan
Penticton,British Columbia
Port Moody,British Columbia
Leamington,Ontario
East Kelowna,British Columbia
Côte-Saint-Luc,Quebec
Val-d’Or,Quebec
Owen Sound,Ontario
Stratford,Ontario
Lloydminster,Saskatchewan
Pointe-Claire,Quebec
Orillia,Ontario
Alma,Quebec
Orangeville,Ontario
Fort Erie,Ontario
LaSalle,Ontario
Sainte-Julie,Quebec
Leduc,Alberta
North Cowichan,British Columbia
Chambly,Quebec
Okotoks,Alberta
Sept-Îles,Quebec
Centre Wellington,Ontario
Saint-Constant,Quebec
Grimsby,Ontario
Boisbriand,Quebec
Conception Bay South,Newfoundland and Labrador
Saint-Bruno-de-Montarville,Quebec
Sainte-Thérèse,Quebec
Cochrane,Alberta
Thetford Mines,Quebec
Courtenay,British Columbia
Magog,Quebec
Whitehorse,Yukon
Woolwich,Ontario
Clarence-Rockland,Ontario
Fort Saskatchewan,Alberta
East Gwillimbury,Ontario
Lincoln,Ontario
La Prairie,Quebec
Tecumseh,Ontario
Mount Pearl Park,Newfoundland and Labrador
Amherstburg,Ontario
Saint-Lambert,Quebec
Brockville,Ontario
Collingwood,Ontario
Scugog,Ontario
Kingsville,Ontario
Baie-Comeau,Quebec
Paradise,Newfoundland and Labrador
Uxbridge,Ontario
Essa,Ontario
Candiac,Quebec
Oro-Medonte,Ontario
Varennes,Quebec
Strathroy-Caradoc,Ontario
Wasaga Beach,Ontario
New Glasgow,Nova Scotia
Wilmot,Ontario
Essex,Ontario
Fort St. John,British Columbia
Kirkland,Quebec
L’Assomption,Quebec
Westmount,Quebec
Saint-Lazare,Quebec
Chestermere,Alberta
Huntsville,Ontario
Corner Brook,Newfoundland and Labrador
Riverview,New Brunswick
Lloydminster,Alberta
Joliette,Quebec
Yellowknife,Northwest Territories
Squamish,British Columbia
Mont-Royal,Quebec
Rivière-du-Loup,Quebec
Cobourg,Ontario
Cranbrook,British Columbia
Beaconsfield,Quebec
Springwater,Ontario
Dorval,Quebec
Thorold,Ontario
